Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,CreditCard,Securities Account,CD Account,Online,Personal Loan
60,37,68.33075259486522,94498,4,1.2612257981242987,1,0,1,0,0,0,0
35,4,35.72914351890752,95758,3,1.5958842103478084,1,171,0,0,0,1,0
32,1,84.95650364503196,94596,3,3.5980030569825994,1,160,1,0,1,1,0
55,5,50.16683541413368,95150,4,1.3282459168458978,3,0,0,0,0,0,0
41,34,2.2748572619166403,95331,3,0.3614265829469647,2,102,0,0,0,0,0
55,34,82.7310494510169,89960,1,2.1415562266459536,2,0,0,1,0,0,1
31,5,46.48504826907922,92112,1,2.019649175500072,1,173,0,0,0,1,0
36,27,27.984603216698968,91599,3,0.13653257192822998,3,0,0,0,0,1,0
61,25,39.149748925037585,94326,2,1.4440143438517787,1,0,1,0,0,0,0
43,19,28.281025899686075,94799,2,1.210639022144043,2,0,0,0,0,0,0
35,13,35.825031042203754,94540,3,0.6628151657338626,3,187,1,0,0,1,0
53,16,5.647987863866756,90812,4,0.13200791373402776,2,0,1,1,0,0,0
51,11,72.56712257643274,95436,3,1.975915520173194,1,125,1,0,0,0,0
56,24,81.93838415754148,91687,2,0.0099604441183756,1,0,0,0,0,0,0
47,5,78.20158529486821,92138,4,2.258314085115167,2,0,0,1,0,0,1
42,11,163.71341413921505,91890,4,7.734685960726942,2,0,0,0,0,0,1
26,27,164.56742988430457,95245,3,0.2987042316801576,1,0,0,0,0,1,1
57,34,20.143180414061206,90290,4,0.3282461285837759,1,0,0,1,0,0,0
27,22,27.934407977988624,94215,4,1.8357258471655928,1,0,0,0,0,0,0
56,32,155.62021932386014,94486,2,2.3477875835831488,1,0,0,0,0,1,0
54,19,98.45123508191864,89987,3,2.6273208556544794,2,0,0,0,0,0,0
66,24,61.937855008241776,94560,3,2.3907849801757672,1,148,0,0,0,1,0
26,0,49.58079558784174,92208,2,1.5657443097921728,1,0,1,0,0,0,0
60,27,70.80630248781814,94007,3,0.682327054576533,2,0,1,1,1,0,0
43,20,53.80228648398481,95759,2,1.7238215050905783,3,0,1,0,0,0,0
28,30,105.1682501552425,92906,2,4.573257292707681,1,0,0,0,0,0,0
31,30,24.26052727069605,94295,1,0.23745991112837395,1,135,1,0,0,0,0
33,24,138.89002105832176,93977,2,3.9592712617710886,1,0,0,0,0,0,0
30,3,64.40181759406588,94101,1,1.5748297898166572,1,203,0,1,1,1,0
29,29,35.6634848295935,91261,1,0.3278058986323884,2,99,0,0,0,1,0
57,17,48.07078576758684,92125,4,-0.0,3,0,0,0,0,0,0
56,41,132.8325096702909,95349,2,0.8919996606299379,1,0,0,0,0,0,0
37,11,87.24893868002296,94394,4,2.9874619995405154,1,409,0,0,0,0,0
34,28,8.998338427582514,94127,4,0.18257630399359281,2,0,0,0,0,1,0
39,16,99.70603476965702,94665,2,0.3256881852739877,1,158,0,0,0,1,0
31,4,100.01614458065123,94263,1,0.2507445944990574,1,0,1,0,0,0,0
58,35,151.37531801012136,91880,3,1.8374716695666002,3,0,0,0,0,1,0
43,13,45.851761892711984,95012,3,2.033446003276859,3,0,0,0,0,1,0
65,20,99.35785450562675,92575,2,3.065609341852616,1,0,1,0,0,1,0
25,30,45.854225523337504,91824,2,2.761644967226285,3,0,0,0,0,0,1
27,3,62.57055394059902,92520,4,2.0808588303631117,2,0,0,0,1,1,0
53,9,174.8052592578922,92033,4,3.1326801010229435,3,0,0,0,0,1,1
48,23,165.24528331953013,94507,3,2.5217214650192163,1,0,0,0,0,0,0
26,4,68.78606955171566,91428,1,1.6678138511317173,1,144,1,0,0,1,0
41,27,17.320415067128046,90939,2,0.01612200707805611,3,120,1,0,0,0,0
50,7,81.69177694425719,90086,4,2.3450325156720133,2,369,0,0,0,1,1
57,37,104.08679996727078,91952,2,2.076897035319384,1,0,0,1,0,0,0
41,8,44.533554489653625,92857,2,2.174800266761434,1,0,0,0,0,0,0
43,34,54.014591619437425,93233,4,1.4465886051702683,1,148,0,1,0,0,0
37,16,46.65613294516106,95330,3,0.16923359678378436,3,0,1,0,0,0,0
31,0,180.5143831517741,95473,3,3.1351912231915504,2,0,0,0,0,0,1
54,13,75.86024192926897,95281,2,0.3149333225796125,1,0,0,0,0,1,0
45,23,120.29197502945996,90163,2,3.809597423439322,1,0,0,0,0,1,0
46,17,29.956510478413527,92159,3,0.7064864467526999,3,98,0,0,0,1,0
31,6,76.08626131190888,92574,4,1.955963447855623,3,301,1,0,0,0,0
36,18,122.08213346940533,94611,4,0.319195452481825,3,0,1,0,0,0,1
34,28,71.22572914818724,94205,1,1.2972117847801523,1,0,0,1,0,0,0
54,34,19.35049848473833,94721,4,0.13071657013624138,2,146,1,0,0,0,0
51,9,52.61581274010855,91464,1,1.7829025795397606,1,0,0,0,0,0,0
57,40,54.61114399301859,93302,2,1.0697332661567795,1,112,1,0,0,1,0
31,14,39.37835729836789,94188,1,0.2350770281193033,3,158,1,0,0,1,0
30,32,66.67637530339982,91902,4,1.7521469548941817,2,270,0,1,0,0,0
61,6,55.90413294686063,92215,2,1.874834241051103,3,160,0,0,0,1,0
27,23,32.06526230589397,95061,4,0.371394706258795,3,179,0,0,0,0,0
36,28,26.570702535058167,95710,3,1.9992182911183658,1,0,0,0,0,1,0
43,19,35.437232649973865,93050,2,0.310302611484355,1,103,0,0,0,0,0
58,36,28.651923110899432,92239,4,2.6012759111946724,1,0,0,0,0,1,0
48,5,18.52451729233727,95856,2,2.803305213930538,1,156,1,0,0,0,0
55,38,34.45022487231175,94219,4,0.17106641313348048,3,136,0,0,0,0,0
59,34,123.31814248264338,92179,3,3.7983710037050056,3,0,0,0,0,1,1
22,1,60.289764989139925,94877,3,0.8899891626468217,2,149,0,0,0,0,0
46,23,40.096950567002914,91278,4,1.4282913608692107,3,0,1,0,0,0,0
47,25,48.09590483358568,90138,2,2.5473950331391673,3,0,1,0,0,1,0
50,4,103.21828521723069,92691,3,1.9450022143091892,2,227,0,0,0,1,0
33,31,136.89657920306882,90214,4,0.28932029511238744,1,91,0,0,0,1,0
58,29,132.1315757992043,94268,2,3.449460111684764,1,439,0,0,0,0,0
51,18,55.45524911783872,92169,3,2.2493242289762194,3,0,0,0,0,0,0
32,7,152.96851296696298,91978,2,2.4670332043765706,1,103,0,0,0,1,0
43,14,185.77597117111787,94381,4,2.9791964043253047,2,0,0,0,0,0,1
26,2,105.05733986495129,94219,4,2.1921617574540657,2,0,0,0,0,0,1
33,26,61.26861671936864,94463,1,1.625290133097128,1,0,0,0,0,1,0
54,38,31.436551532229046,91982,3,0.7074793434135729,2,0,0,0,0,1,0
57,41,16.267124320642683,94766,4,0.27996504845666803,1,0,0,0,0,1,0
45,35,68.5692027095541,91751,1,2.569465477043301,1,177,0,1,1,1,0
44,30,85.54564291320601,91977,1,2.6409101773469232,1,0,0,0,0,0,0
56,37,143.67699081707505,89781,2,4.485270081975489,2,0,0,0,0,0,1
45,33,14.878715181634847,92104,4,1.1129889095150616,3,0,0,1,0,0,0
29,20,85.68952180289554,90907,4,2.6012538960719254,2,0,0,0,0,0,0
63,34,52.95240645829875,94484,2,1.6246080819529083,3,0,0,0,0,0,0
62,21,22.34385334217867,95128,4,2.4049746994606367,1,114,1,0,0,1,0
55,24,16.955643352442294,94402,1,0.19884134863901393,1,0,1,0,0,0,0
56,39,15.639634820263838,91210,4,0.04059501983692826,2,116,1,0,0,0,0
22,2,77.58876842708004,94127,1,1.6550165590165693,1,0,1,0,0,0,0
30,17,17.746205978122962,94261,1,0.11045674012462037,1,0,0,0,0,1,0
28,2,116.32574145688223,94398,1,2.2101648936975997,1,455,0,0,0,0,1
54,24,-0.8422433738134067,93377,4,0.08368917452359859,1,103,0,0,0,1,0
60,38,41.90473603411576,92134,3,2.258928257669443,2,0,0,0,0,1,0
57,30,48.22433658733493,94143,1,0.16810137448376317,1,0,0,1,0,1,0
48,30,25.32748181309364,89843,1,0.043013490371509144,2,0,0,0,0,0,0
26,0,46.02680561359011,94435,1,1.9805980586502434,1,185,0,0,0,0,0
49,35,41.12424038299006,94445,1,1.6248459636872155,1,0,1,0,1,1,0
34,13,180.75071116493655,93940,1,1.6191468194306702,1,417,0,1,1,1,0
42,29,25.840205493591142,91630,3,-0.0,2,104,0,0,0,1,0
60,29,163.2563628811825,94649,4,1.7099878940993083,3,0,1,0,0,1,0
34,20,114.60794700736733,92324,1,0.18933992530046417,1,0,0,0,0,0,0
41,20,48.73324038672299,93858,1,0.12222085166368823,1,0,0,0,0,0,0
49,31,54.70328269249145,91986,1,1.8238875644276122,1,0,0,1,0,1,0
26,1,45.40791393008399,95622,3,2.5939273477133398,3,164,1,0,0,0,0
38,35,75.06631469594267,91775,1,0.13649475397525568,1,0,0,0,0,1,0
53,36,36.33849428755016,92060,4,1.0931896011557276,2,0,0,1,0,1,0
30,2,58.32907245528723,90349,4,1.386299995762705,3,0,0,0,0,0,0
41,10,56.007466550375,94398,3,1.7689137281412535,2,0,1,0,0,0,0
37,16,170.4494643482513,90222,1,5.288970454711961,1,335,0,0,0,1,1
34,28,122.29855769747937,94555,2,4.542276840933609,1,0,0,0,0,0,0
37,22,177.5865432192688,93809,1,0.05158272702129385,1,0,1,0,0,0,0
49,5,65.94870259379044,91428,1,2.363519603514161,1,0,1,0,0,0,0
56,41,126.99562358505534,93073,2,2.28415929106523,1,0,0,0,0,1,0
45,10,46.395272828965815,94229,3,0.5370750556513979,1,140,0,0,0,1,0
31,4,111.38965789900726,92577,2,2.202076429882561,3,119,0,1,0,1,1
29,22,27.63237026953154,94186,1,0.18649708778263396,1,0,0,0,0,0,0
33,17,133.064530245412,93840,3,0.2408419533346584,1,95,0,0,0,1,0
55,23,164.54258515594245,94200,2,2.3673065894378786,3,0,0,0,0,1,0
54,1,30.213917065046754,91702,3,0.12475839229219221,1,127,0,0,0,1,0
44,19,46.32360718707516,90582,1,1.4176679329662423,2,0,0,1,0,0,0
38,12,55.204936521004406,92018,2,2.2847274297560887,1,0,1,1,1,1,0
39,24,74.99115064078735,91239,1,0.09685387968090198,1,156,1,0,0,0,0
42,22,15.704245486970283,92036,2,0.14410941373789354,1,93,1,0,0,1,0
35,37,137.60696307171543,92159,4,6.938483464475832,2,425,0,0,0,0,1
24,22,106.1659844558285,90207,1,5.634363621729563,1,469,0,0,0,0,0
57,8,18.471967092502695,94388,1,0.07958432752217348,2,129,0,0,0,1,0
57,18,152.76480805572777,94500,1,1.41566557650992,1,164,0,0,0,1,0
58,37,69.85827133441843,91970,2,0.26833885767795107,1,0,0,0,0,1,0
47,16,34.729774968976514,92227,3,0.2913125641446612,3,106,0,0,0,0,0
31,4,165.73184035156032,94346,1,1.8163971884127421,1,135,0,0,0,1,0
30,2,34.57448734273427,94443,1,0.5949951810013352,1,0,0,0,0,0,0
34,19,186.46786424343856,94296,1,4.5865935893573715,3,202,0,0,0,1,1
34,29,75.2120734067254,94188,4,1.003111916206786,2,0,0,1,0,0,0
53,3,154.10686581115002,92977,1,2.08279552858708,1,479,1,1,1,1,1
47,8,35.453722684494316,94716,1,0.07951550617367897,3,0,1,0,0,0,0
38,20,27.549015448802074,90992,1,0.21189628015807305,1,151,0,0,0,1,0
34,27,78.62458400395347,90229,1,2.1202278662242384,1,136,0,0,0,0,0
64,39,13.437997411552555,91348,2,0.12205512974732757,3,99,1,0,0,1,0
59,34,144.3724627944766,94802,2,1.4710164337388152,1,0,0,1,1,0,0
56,23,15.983681486085953,96000,3,0.5535437880794531,2,0,0,0,0,0,1
54,42,166.47200893639535,91366,2,2.0840988867037766,3,93,1,0,0,1,0
47,29,47.74643051352475,90943,1,0.05186159687906167,3,0,1,0,0,1,0
27,1,31.556771324067377,92076,1,3.1653558299635183,1,171,1,0,1,1,0
57,35,16.981212304822627,92661,2,0.8913595532209604,3,107,1,0,0,1,0
53,21,128.8994542225469,90032,3,2.6648505973744325,2,0,0,0,0,0,1
47,36,45.208517019673145,92098,3,1.3429464038558403,3,147,0,0,0,1,0
56,35,31.550480862933288,94428,4,0.19807613022901283,3,106,0,0,0,1,1
61,34,39.13925405839715,93980,3,0.9892097247268541,3,0,0,0,0,0,0
49,31,20.272756374991552,94259,3,0.7974727272605633,3,108,1,0,0,1,0
32,17,47.73477272791539,90324,1,1.973111630831072,1,0,0,0,0,0,0
49,32,30.93221394193232,94711,3,1.4031933104992849,1,0,0,1,0,1,0
29,35,8.345728816963174,90589,2,0.005831399845516172,3,0,0,0,0,1,0
55,35,104.02798447828496,92904,4,0.1875389663387248,1,484,0,1,1,1,0
34,24,43.70369732664946,92115,3,1.8844006747495583,3,0,0,0,0,0,0
29,32,18.14709929956811,91942,2,0.058548420824570346,1,97,0,0,0,1,0
52,9,77.13889318442311,92259,3,1.9727076975986066,1,0,0,0,0,0,0
58,5,54.59471959019256,92720,4,0.4719966258455257,2,0,0,1,0,1,0
54,32,26.331412091362868,92069,1,1.2778275118969633,2,0,0,0,0,1,0
48,28,37.983427988838194,91435,1,0.5738628712028688,3,0,1,0,0,0,0
58,19,31.016156971899544,92058,2,0.2143033802576031,1,158,0,1,0,0,0
56,15,35.03837977487483,94553,3,0.19592764844765753,1,0,0,1,1,1,0
46,24,31.439809739976173,92128,3,1.1977313490242714,1,0,0,0,0,0,0
47,42,31.202434923731246,92298,4,1.5823635163279208,1,172,0,1,0,1,0
33,32,3.681449380180023,95076,2,-0.0,3,96,0,0,0,0,0
40,21,19.554020758865093,94568,3,0.13336344766115205,3,115,0,1,1,1,0
59,11,87.57008371340167,90086,1,2.2116760880047557,2,0,0,0,0,0,0
25,26,21.638656373299753,94697,1,1.0939848000868664,3,159,1,0,0,1,0
36,23,24.10159073779471,94329,2,0.34679284990055725,1,88,0,0,0,0,0
34,22,12.466115721852331,91755,4,0.14276540447304198,3,115,0,0,0,1,0
26,21,78.0172414553918,94513,1,0.18239977639136873,1,0,1,0,0,1,0
36,28,100.60755287487484,94151,1,0.9143654020873457,3,0,0,0,0,0,0
29,3,28.193644914052534,94614,1,1.0406002085934936,3,0,0,0,0,1,0
50,23,44.377444859434966,92116,3,1.6343453162451511,2,0,0,0,0,1,0
56,25,155.97879759078856,91967,3,2.5987728808898876,3,98,0,0,0,1,1
54,25,167.84257155777672,94107,2,1.8541117878432156,1,0,0,0,0,0,0
48,40,14.90543991135033,94820,3,0.22725133389173746,2,113,0,0,0,1,0
55,17,57.405687632885794,94637,1,1.528328923827262,2,0,0,0,0,1,0
56,23,28.481033303320302,92044,2,1.3068578378312061,1,0,0,1,0,1,0
47,6,147.94889941315975,93074,4,2.3657692090794136,1,406,1,0,0,1,0
53,22,63.99935782482409,92287,4,0.1256331459601545,1,160,0,0,0,1,0
24,-5,49.74220597170879,94973,3,1.7644465532677942,2,0,0,1,1,0,0
37,29,15.1915288834609,95245,1,1.1366665258340127,1,0,0,0,0,0,0
57,36,35.00528971286438,94503,4,1.6642556478453598,3,97,0,1,0,0,0
50,9,181.21248204806412,92014,3,6.189550380612595,1,350,0,0,0,1,1
42,26,47.612784281708336,94172,4,-0.0,3,0,0,1,0,0,0
26,5,79.22409452178661,95352,1,1.5810676983030394,3,139,1,0,0,0,0
60,41,89.60214020037729,92006,1,2.5035768003780268,2,0,0,1,1,1,0
57,37,48.40673818907927,94563,1,0.7542084575393153,2,131,1,0,0,1,0
46,4,45.85376347432329,95085,1,1.4751592313354953,1,0,1,0,0,1,0
59,15,85.2659801492172,91311,4,2.7517766984750227,1,0,0,1,0,0,0
31,27,116.63266072864516,92936,4,4.205769758316678,2,0,1,0,0,0,1
56,37,79.42980099959645,92191,3,1.9266376422663862,1,0,0,0,0,1,0
29,40,9.530484462611351,93875,4,0.6480068448932621,3,110,0,0,0,1,0
20,6,140.06185526824632,94251,1,1.6841842885737384,1,0,0,0,0,1,0
47,26,70.5869715902144,94622,4,1.758774487442066,3,235,0,0,0,0,0
50,41,14.62112890232238,95039,4,0.86922274973586,3,0,1,0,0,0,0
56,40,99.25425154242069,94620,1,3.3537808602856414,1,395,1,0,1,1,1
54,35,23.963616734693375,91792,4,2.1008988260576777,2,0,0,0,0,0,0
54,29,150.0080739051244,94309,4,6.1601697985840245,3,0,0,0,0,0,1
30,7,132.73105527390467,90095,1,3.359286192735178,1,410,0,0,0,1,0
55,4,142.88662177525222,93800,4,1.206158935460119,3,0,0,0,0,0,0
39,27,137.03736311813037,94977,2,0.2226628621111444,3,98,1,0,1,1,0
40,33,31.036774319717033,94528,1,1.8393108467109172,1,0,1,0,0,0,0
40,37,27.76315610781466,90013,1,0.10681902445972336,3,0,0,0,0,0,1
51,31,127.49545964278002,91912,1,2.468769964584818,3,0,0,0,0,1,1
38,21,131.27612437797086,94329,2,2.7994472750817,3,0,1,0,0,1,0
